name,cuisine,avg_del_time,avg_price_for_2,offers
The Ketchup Hall,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Suris tea and coffee,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
True Bite,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Famous Dhaba,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Al-Saudi Shawarma & Ice Cream	,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
MR. SHAWARMA,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Nuage Popcorn,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
The Fish Byte,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Harley's Exotic Coffee,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Parathe Sulthanat,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Cakes By Ofen,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Harika's Kitchen,Beverages,42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Chic N Cone,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
House of pops,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
Dhaba Chef,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
SHIRDI SAI TIFFINS - RAYALASEEMA SPECIALS,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
Khichdi Central,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
KADAK CHAI,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
Lucky Tea,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
Trailing Ivy Cafe,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
The House Of Combos,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
The Bowl House,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
Star Pooja Restaurant,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
Shri Ruchi Snacks Corner,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
Kurries,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
Maharaja Thali,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
Vaisra'S Kitchen,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
Krunchos,Fast Food,47 MINS,₹350 FOR TWO,50% off | Use WELCOME50
Ministry Of Shakes,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
CAFE AMLIN,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Puliyogare Palace,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
MULTI CHEF'S RESTAURANT,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
AM PM TIFFEN CENTRE,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Snakie Bites,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Roti Aur Boti Xpress,"Salads, Beverages",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
